,address,amount,decimals,owner,lamports,ownerProgram,type,rentEpoch,executable
0,3emsAVdmGKERbHjmGfQ6oZ1e35dkf5iYcS6U4CPKFVaa,3443824265371413,6,7VHUFJHWu2CuExkJcJrzhQPJ2oygupTWkL2A2For4BmE,849964858600,11111111111111111111111111111111,system_account,361,False
1,FzbcyEZ9m8xjtergWgWDq7mfPoHEbboBF791B6cTpzbq,220298148511247,6,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,5838625316447997,11111111111111111111111111111111,system_account,361,False
2,FGETo8T8wMcN2wCjav8VK6eh3dLk63evNDPxzLSJra8B,101113183339219,6,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,7762840257258415,11111111111111111111111111111111,system_account,361,False
3,6R3LCPiPqxmKxA4MKFE4KD9YD2giXc5K7LWGALrGk9Y7,55901999500000,6,3GNUeQv2eNuKztuR7eWaRbZ8kVrkp5nPXc2vwzEBENuf,220059980000,11111111111111111111111111111111,system_account,361,False
4,DD7nZPcgbhfM7qMG33iuKJ3in8U3wbUzVnheB5ob27pf,48919259297333,6,FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,2536244718638845,11111111111111111111111111111111,system_account,361,False
5,9gD46MnYLpskDiRisMZGY958JHgMSxLUiT56r8vdNzb8,44096199147900,6,41zCUJsKk6cMB94DDtm99qWmyMZfp4GkAhhuz4xTwePu,3899787689880,11111111111111111111111111111111,system_account,361,False
6,7dQmths1cyCQ4xaC5KcVfXz4BvVWtnHc3hcgnfnE1PBx,41142546787134,6,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,97783990459681,11111111111111111111111111111111,system_account,361,False
7,92oAd9cm4rV4K4Xx9HPRMoFn7GwMaKsjNSPe7QVxywcy,37811356528688,6,TamdAwg85s9aZ6mwSeAHoczzAV53rFokL5FVKzaF1Tb,3694000,5D9yi4BKrxF8h65NkVE1raCCWFKUs5ngub2ECxhvfaZe,unclassified,361,False
8,6h29sTzK4XsL4Gjo8uXLWXgKLNSXvnnax45RJ4NSCziP,28849009846460,6,5tgfd6XgwiXB9otEnzFpXK11m7Q7yZUaAJzWK4oT5UGF,4552389840,11111111111111111111111111111111,system_account,361,False
9,BXDAfRM8KY5KeaHG4zLxhczwGXdj2vFBJJdeaTPwcveg,25852920010873,6,FRnCC8dBCcRabRv8xNbR5WHiGPGxdphjiRhE2qJZvwpm,4517158061087,11111111111111111111111111111111,system_account,361,False
10,9KaA7vEBUdRCcBWxfuMjxYwKfvu8Us3Cg5gkhVFt2LNk,21874707514794,6,2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,400087076655818,11111111111111111111111111111111,system_account,361,False
11,FVXysQd8gPdfiwrhuhNMUPRcXre8NoAVWZfNerZKJ74G,18500000000000,6,DLWPRzPY2bRu97y2BSbh8WehQMcs5knLnuJ8cdYYCRYp,12492182321000,11111111111111111111111111111111,system_account,361,False
12,DzHkPPfGbg6xmvvmEmx1toxKD91ZzWfNJU2hvP5eVMmT,16465075953294,6,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,321093706095673,11111111111111111111111111111111,system_account,361,False
13,5Ai4BHfcpPMrgjBvmhycaLWNahfWQHgbTtbB4paTsHER,16325081358680,6,Fcrq7V5QF2zNPfTcjx6C8ooNGmhBCWqHoV8JT7rbbVMW,1662560,GMpXgTSJt2nJ7zjD1RwbT2QyPhKqD2MjAZuEaLsfPYLF,unclassified,361,False
14,9en2QCzV4B6P9vwMkjEk11iMzW1dCrYdCpev2dXemHjq,16053581192808,6,CzZySsi1dRHMitTtNe2P12w3ja2XmfcGgqJBS8ytBhhY,1642560,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw,unclassified,361,False
15,ELeT9DQnUdzqA4J55BHaJMyU9uwA4RfCtxBPhnByFhzB,13239506410000,6,9GnF7j52tahBNmWFvZiiyrb2tQPwywDZYrh2Rf5T6DsY,149940000,11111111111111111111111111111111,system_account,361,False
16,8SheGtsopRUDzdiD6v6BR9a6bqZ9QwywYQY99Fp5meNf,12529791670681,6,DdZR6zRFiUt4S5mg7AV1uKB2z1f1WzcNYCaTEEWPAuby,120000000,11111111111111111111111111111111,system_account,361,False
17,J5VDogNh353GcXCRJyYS3yDmrckbS3bPWtrEjQUsNNJM,12511642907326,6,DZixgqX9co8mWmL8s3pRQNe92zkceibyWmmj3GNCv2FQ,2935160,11111111111111111111111111111111,system_account,0,False
18,8TEK5K7YcevpXfi3kjXosfXj9W7Lfq7nULn9fbJJXthD,12266489497325,6,7DnqWV1732auGkzfKgNxzcEHJfapX2GbwZ1w3aqoAN4z,1252228256,11111111111111111111111111111111,system_account,361,False
19,9DG795GEYQ7byWz9HAbWkw7Q7W39P3hS614VDRobiAHh,11713119747105,6,9SAveSCmGTVR9csAjK45keGitb1kdsC22Pb1AFdoUcSD,1662560,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw,unclassified,361,False
20,5SvWZ7EDAhFQwJoJ5iftNF9C2CHpA6DChyZzAnmLupeQ,10252924107681,6,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,953994495709139,11111111111111111111111111111111,system_account,361,False
21,8EHgWLEj9TPiD631n3cq9zmGzMCq3nDJesYTKRH2WAeq,9437698003992,6,FBUKfg7Thx4WDM4ATehJe1xWzuGtMk1myXhRSvuSq19h,23003655287210,11111111111111111111111111111111,system_account,361,False
22,EH1bTaKWkQ3QpK2Notd7eKesT61eGrhehu97XY4oUSng,7544294558605,6,om7J5tK6zMrUAidWqdqQ6BgNQUCPESKeUoiy5M2XeM7,427960840,11111111111111111111111111111111,system_account,361,False
23,CzztF4jyKfRQU6J4eCXhZEpMsg6iZAKtQjgQEoKrKNvZ,7293415532185,6,7M6TSEkRiXiYmpRCcCDSdJGTGxAPem2HBqjW4gLQ2KoE,3162034640,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw,unclassified,361,False
24,5u8sHSgxACrwADb2RqxB1g45vmwan4n2vfbXzTa7TGDw,7185833901940,6,FrrrZWDn7pCMiGoh35PVZbP8uV2n5nFFJx3uFuyKty2R,7195312969504,11111111111111111111111111111111,system_account,361,False
25,9XzoWCQSrVEUxdDRpbNdiZoKLVBmbwMGKeqTgmmeHVu4,6045381753256,6,E3CdwVFBNnLVUfCAgYc69KhT3p33NnJpqJRpNW3zHNmd,9987345769,11111111111111111111111111111111,system_account,361,False
26,CCrumvs8dJmuLQPKjpTDXUvT7Cr4WKVnAVRfbu2vZX9a,6000000000000,6,FFEcZMJbvicrEFzkpYnyDFxaK3rekZhF2XSCXs6uWnEQ,12039280,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,token_account,361,False
27,975zSZd8EYLq242h4AnMryDcUSWWYt2KvnJyDjSm941w,5983693594964,6,GgYtnDJMHQG4gpVzy2KHukSvHfFJcs1jLXASsBCQE83P,415222014142,11111111111111111111111111111111,system_account,361,False
28,cPMwaM3fedMuvJHpXtF8v5re6UZkSZ6wo1JUYMFj33r,5832056648593,6,FBUKfg7Thx4WDM4ATehJe1xWzuGtMk1myXhRSvuSq19h,23003655287210,11111111111111111111111111111111,system_account,361,False
29,Ebok1YmRyTqUhTGbKkrtVJepewKZsbcmJvTyPXUyhzYs,5500838550018,6,6HFxHT4tFVB19weeMGYQrepa51rzxjydkhWAaomsf6g4,9585565013,11111111111111111111111111111111,system_account,361,False
30,HRtXxAeBPBefM1uuFY2DJREn8BokUHDqTP8F16oRxv2J,4999985900000,6,4kWwg9hQri1aFVqjxayDVmjmYtjXjrf1h5TpfvvAk5Sm,1000000000,11111111111111111111111111111111,system_account,361,False
31,G9c6FjfxoaE6o7uQtkrmc1WLp5pWavaNGJf3sbM8D9mt,4862257695394,6,8ZuvJBf3xZyPszjZA9DvZRGY2bLUHDLgKBE5Qkc2fMbV,991607880,11111111111111111111111111111111,system_account,361,False
